iter	MultiClass
0	2.537294696
1	2.387523508
2	2.2849538
3	2.20758307
4	2.140825869
5	2.08695876
6	2.04236117
7	2.004513666
8	1.97293486
9	1.944214244
10	1.916461393
11	1.896762248
12	1.878181109
13	1.859755666
14	1.845527886
15	1.830348231
16	1.818535527
17	1.809766762
18	1.797003302
19	1.786886035
20	1.77972288
21	1.772044728
22	1.764807269
23	1.757827867
24	1.751749553
25	1.7456458
26	1.738897815
27	1.733499769
28	1.729254474
29	1.724540641
30	1.720242335
31	1.716906705
32	1.713520205
33	1.70875045
34	1.705567693
35	1.703339888
36	1.699896988
37	1.696347406
38	1.694465899
39	1.689888972
40	1.687867726
41	1.686175198
42	1.683939625
43	1.681965981
44	1.680210804
45	1.677468964
46	1.674705071
47	1.672009136
48	1.670105732
49	1.669138064
50	1.667642656
51	1.666078044
52	1.663759419
53	1.661768989
54	1.65953154
55	1.658393113
56	1.656342738
57	1.655135583
58	1.653665947
59	1.651623114
60	1.649658067
61	1.64843497
62	1.646422396
63	1.645060143
64	1.643880065
65	1.642557364
66	1.640815219
67	1.639844282
68	1.638590891
69	1.637887842
70	1.63626479
71	1.634715003
72	1.633709684
73	1.632161049
74	1.630877578
75	1.629919319
76	1.629267306
77	1.628221309
78	1.626842749
79	1.625864154
80	1.624200066
81	1.623312566
82	1.622482076
83	1.62136041
84	1.620490769
85	1.619628126
86	1.618943211
87	1.617630216
88	1.616742044
89	1.615476328
90	1.614533504
91	1.613728997
92	1.61247438
93	1.611770954
94	1.611114909
95	1.609995481
96	1.60851338
97	1.607683818
98	1.60695358
99	1.606198877
100	1.605166593
101	1.604160069
102	1.603117388
103	1.602224434
104	1.601450187
105	1.600931507
106	1.600205845
107	1.599352083
108	1.598275076
109	1.597507354
110	1.596745668
111	1.595947848
112	1.594936274
113	1.594125524
114	1.593483025
115	1.59269687
116	1.591787914
117	1.590701995
118	1.590132553
119	1.589058709
120	1.588616104
121	1.587576261
122	1.586626797
123	1.585398625
124	1.584589925
125	1.583870186
126	1.58305771
127	1.582248456
128	1.581641871
129	1.580989483
130	1.580339874
131	1.579508779
132	1.578920009
133	1.578118731
134	1.57754418
135	1.576756203
136	1.576080783
137	1.575246999
138	1.574340089
139	1.573500302
140	1.57251856
141	1.571656589
142	1.570975486
143	1.570064368
144	1.569432387
145	1.56898657
146	1.568259338
147	1.567557166
148	1.567056373
149	1.566424585
150	1.565696663
151	1.564901794
152	1.564233535
153	1.563298707
154	1.562764276
155	1.562139201
156	1.561782323
157	1.561032371
158	1.560042851
159	1.559727166
160	1.559262272
161	1.558755763
162	1.55806684
163	1.557614713
164	1.556943613
165	1.556344828
166	1.556002504
167	1.555290973
168	1.554683114
169	1.554247894
170	1.55353339
171	1.553064636
172	1.552490802
173	1.551997699
174	1.551415994
175	1.550933706
176	1.550185445
177	1.549851329
178	1.549277208
179	1.548823758
180	1.548366905
181	1.547770339
182	1.547125304
183	1.546498641
184	1.54582792
185	1.545320838
186	1.544857417
187	1.544177378
188	1.543694723
189	1.543319275
190	1.54262229
191	1.542339722
192	1.54193417
193	1.541391488
194	1.540854177
195	1.540479054
196	1.539912197
197	1.539469337
198	1.53889203
199	1.538423732
200	1.537961907
201	1.537535577
202	1.537029934
203	1.53644617
204	1.535970195
205	1.535198593
206	1.534598421
207	1.534050609
208	1.533644246
209	1.53288541
210	1.532386359
211	1.531864296
212	1.531412423
213	1.530960646
214	1.530556595
215	1.529873268
216	1.529452318
217	1.528848905
218	1.528597692
219	1.528302073
220	1.527775833
221	1.527127795
222	1.526541755
223	1.526107698
224	1.525579933
225	1.525226637
226	1.524898707
227	1.524687384
228	1.524137566
229	1.523985278
230	1.523590126
231	1.52301593
232	1.52251734
233	1.522164725
234	1.521787476
235	1.521350607
236	1.520848058
237	1.5205192
238	1.520181519
239	1.519784711
240	1.519430766
241	1.519124768
242	1.518700376
243	1.518175748
244	1.517790429
245	1.517415915
246	1.516987852
247	1.516563034
248	1.516169886
249	1.515701245
250	1.515268471
251	1.514854536
252	1.514422054
253	1.514217629
254	1.513879907
255	1.513581164
256	1.513227894
257	1.512592412
258	1.512332814
259	1.511885075
260	1.511515556
261	1.511205841
262	1.510680554
263	1.51024982
264	1.509898283
265	1.509298639
266	1.509114801
267	1.508800468
268	1.508334416
269	1.507781886
270	1.507269087
271	1.506875243
272	1.506666199
273	1.506363519
274	1.50597145
275	1.505654198
276	1.505315272
277	1.505044488
278	1.504520329
279	1.504047573
280	1.503773099
281	1.503409535
282	1.502969367
283	1.502456603
284	1.502034891
285	1.501398886
286	1.500982433
287	1.500656214
288	1.500230652
289	1.499716324
290	1.499284632
291	1.498946293
292	1.498333536
293	1.498057457
294	1.497667349
295	1.497112249
296	1.496791764
297	1.496409159
298	1.495734007
299	1.495260765
300	1.494955882
301	1.494726908
302	1.49439744
303	1.493973976
304	1.493597176
305	1.493256279
306	1.492879558
307	1.4925793
308	1.492231605
309	1.49184975
310	1.491591722
311	1.49129185
312	1.490968728
313	1.490633596
314	1.490490254
315	1.490141362
316	1.489499025
317	1.489205289
318	1.488563077
319	1.488195732
320	1.487884149
321	1.487705746
322	1.487203015
323	1.48699778
324	1.486396819
325	1.486061602
326	1.485745401
327	1.485189559
328	1.484703922
329	1.484283766
330	1.484037412
331	1.483870064
332	1.483432809
333	1.483073365
334	1.482752165
335	1.482481846
336	1.482228525
337	1.481818585
338	1.481368231
339	1.481081187
340	1.480757286
341	1.48052244
342	1.480154374
343	1.479836758
344	1.479493781
345	1.479088616
346	1.478686036
347	1.478369465
348	1.478069751
349	1.477519084
350	1.477312395
351	1.477118544
352	1.476659848
353	1.476328664
354	1.475964395
355	1.475526548
356	1.475075693
357	1.474579135
358	1.474321472
359	1.474112717
360	1.47375738
361	1.473484428
362	1.473231435
363	1.472983352
364	1.472604186
365	1.472244817
366	1.471723452
367	1.471334559
368	1.470921356
369	1.470352244
370	1.470094967
371	1.469642898
372	1.469229573
373	1.468906566
374	1.468323377
375	1.468020181
376	1.467324523
377	1.467050191
378	1.466859327
379	1.466505864
380	1.466326619
381	1.466035157
382	1.465746567
383	1.465376997
384	1.465066188
385	1.46446738
386	1.464155096
387	1.463814375
388	1.463616498
389	1.463098633
390	1.462638904
391	1.46235892
392	1.462031564
393	1.461759615
394	1.461488337
395	1.461063875
396	1.460932975
397	1.460658765
398	1.460224038
399	1.459805185
400	1.459545613
401	1.459373422
402	1.458834648
403	1.458350387
404	1.458070485
405	1.457757958
406	1.45744162
407	1.45723075
408	1.45695565
409	1.456373594
410	1.455968763
411	1.455795277
412	1.455524573
413	1.45529707
414	1.455051744
415	1.454819938
416	1.454543664
417	1.454224764
418	1.453771673
419	1.453484811
420	1.453317064
421	1.452951419
422	1.452686381
423	1.452274362
424	1.452099996
425	1.451941725
426	1.451767928
427	1.451507503
428	1.451175091
429	1.450745524
430	1.450449136
431	1.449953941
432	1.449710735
433	1.449470004
434	1.449064627
435	1.448840027
436	1.448556583
437	1.4483974
438	1.447781748
439	1.447504479
440	1.447159742
441	1.446684342
442	1.446371627
443	1.446138719
444	1.445905478
445	1.44534886
446	1.444914914
447	1.44445955
448	1.444024203
449	1.443794942
450	1.443522308
451	1.443304757
452	1.4429623
453	1.442756507
454	1.442372379
455	1.442084254
456	1.441724281
457	1.441419589
458	1.441190441
459	1.440846442
460	1.440551772
461	1.439907176
462	1.439537837
463	1.439223132
464	1.438975031
465	1.438482585
466	1.438246848
467	1.438031061
468	1.437813364
469	1.437345395
470	1.437045903
471	1.436866989
472	1.436409824
473	1.435893193
474	1.435520741
475	1.435295763
476	1.435169579
477	1.434849085
478	1.434504341
479	1.434198397
480	1.43393945
481	1.433661697
482	1.433418699
483	1.432988867
484	1.432682056
485	1.432261493
486	1.431881902
487	1.431665272
488	1.431496246
489	1.431160331
490	1.430849826
491	1.430556577
492	1.430376412
493	1.430147615
494	1.429914084
495	1.429760986
496	1.429391603
497	1.42901948
498	1.428668747
499	1.428441981
500	1.4281722
501	1.427936635
502	1.427523179
503	1.42721659
504	1.426859494
505	1.426477837
506	1.426166671
507	1.425884405
508	1.425547631
509	1.42535737
510	1.425146253
511	1.424997691
512	1.424758864
513	1.424677834
514	1.424483975
515	1.423996561
516	1.423609845
517	1.423232902
518	1.423024761
519	1.422789139
520	1.422283984
521	1.422018556
522	1.421757202
523	1.421561219
524	1.421276991
525	1.42113751
526	1.420816024
527	1.420632994
528	1.420486134
529	1.420217123
530	1.420025994
531	1.419727622
532	1.419445596
533	1.419043572
534	1.41863645
535	1.418164252
536	1.418083334
537	1.417829364
538	1.417539746
539	1.417257656
540	1.416996856
541	1.416652451
542	1.416244748
543	1.415750763
544	1.415469274
545	1.415356757
546	1.415120858
547	1.414875751
548	1.41469371
549	1.414457312
550	1.414066769
551	1.413856787
552	1.413653292
553	1.413517335
554	1.41330307
555	1.412972537
556	1.412709028
557	1.412550732
558	1.412264788
559	1.411957311
560	1.411764288
561	1.411541415
562	1.411367459
563	1.411095471
564	1.410926329
565	1.410574531
566	1.410166185
567	1.409936528
568	1.40981698
569	1.409536351
570	1.409211992
571	1.408974576
572	1.408818376
573	1.408615204
574	1.408232502
575	1.407904096
576	1.4077194
577	1.4074943
578	1.407352257
579	1.406974248
580	1.40671144
581	1.406571389
582	1.406455676
583	1.405953925
584	1.405681734
585	1.405506297
586	1.405324412
587	1.405122606
588	1.404998678
589	1.404764117
590	1.404317475
591	1.404198097
592	1.403928201
593	1.403855765
594	1.403454384
595	1.403133798
596	1.402885123
597	1.402629803
598	1.402445253
599	1.402112181
600	1.401751472
601	1.401511942
602	1.401377948
603	1.401056034
604	1.400921438
605	1.400795159
606	1.400580759
607	1.400408502
608	1.400295716
609	1.400101032
610	1.399805858
611	1.399662568
612	1.399461601
613	1.399194037
614	1.399036167
615	1.398788918
616	1.398432486
617	1.398147562
618	1.39785725
619	1.397459363
620	1.397224488
621	1.396943788
622	1.396602339
623	1.396404177
624	1.396262752
625	1.395918701
626	1.395577792
627	1.395303708
628	1.395056813
629	1.394799449
630	1.394529919
631	1.39424872
632	1.393834198
633	1.393552339
634	1.393371775
635	1.393221086
636	1.393064098
637	1.392879969
638	1.392501682
639	1.39224019
640	1.391802193
641	1.391448862
642	1.391250413
643	1.390967308
644	1.390695604
645	1.390533484
646	1.390360309
647	1.390049729
648	1.389697353
649	1.389377107
650	1.389204152
651	1.388975293
652	1.38863909
653	1.388431302
654	1.388139179
655	1.387920109
656	1.387813873
657	1.387551073
658	1.387311098
659	1.386929917
660	1.386770989
661	1.386515425
662	1.38622856
663	1.38601165
664	1.385779185
665	1.385628141
666	1.385422586
667	1.385120977
668	1.384948774
669	1.38461849
670	1.384429948
671	1.384135585
672	1.383796497
673	1.383606582
674	1.383394901
675	1.383194509
676	1.382997381
677	1.382768091
678	1.382425858
679	1.382217581
680	1.381864568
681	1.381354085
682	1.381242984
683	1.381102473
684	1.380996949
685	1.380889644
686	1.380686077
687	1.380472512
688	1.380167786
689	1.379908592
690	1.379597378
691	1.379414307
692	1.379181054
693	1.37896851
694	1.378573381
695	1.378407224
696	1.3780562
697	1.377808095
698	1.377664561
699	1.377274007
700	1.377001296
701	1.376613985
702	1.376313788
703	1.375883168
704	1.375719862
705	1.375374318
706	1.374955528
707	1.37476505
708	1.374489728
709	1.374305678
710	1.373997367
711	1.373763636
712	1.373469772
713	1.373273284
714	1.373004402
715	1.372830666
716	1.372304681
717	1.371912731
718	1.371765848
719	1.371575801
720	1.371428193
721	1.371257163
722	1.370902908
723	1.370527712
724	1.370225946
725	1.369917848
726	1.369578842
727	1.369418888
728	1.369138558
729	1.368735198
730	1.368516402
731	1.368246405
732	1.368087345
733	1.367886091
734	1.367576002
735	1.367338195
736	1.367193147
737	1.367053669
738	1.366756833
739	1.366398359
740	1.366258467
741	1.365787899
742	1.365493293
743	1.365370793
744	1.365226317
745	1.364976079
746	1.364679832
747	1.364463784
748	1.364291022
749	1.364042249
750	1.363691328
751	1.363594656
752	1.363290111
753	1.36313892
754	1.362904585
755	1.362755406
756	1.362495055
757	1.362319766
758	1.362239638
759	1.362146276
760	1.361920484
761	1.361779379
762	1.361585998
763	1.361399835
764	1.361117644
765	1.360871858
766	1.360564923
767	1.36026395
768	1.359921706
769	1.359481769
770	1.359262281
771	1.358893367
772	1.358692952
773	1.358550875
774	1.358294477
775	1.358044483
776	1.357704579
777	1.357562525
778	1.357178759
779	1.356701153
780	1.356446027
781	1.356225304
782	1.355707245
783	1.355477389
784	1.355117535
785	1.354786405
786	1.354554941
787	1.354323253
788	1.354108526
789	1.353836149
790	1.353579464
791	1.353421963
792	1.353370482
793	1.353158111
794	1.352793904
795	1.352497659
796	1.351950465
797	1.351795837
798	1.351601873
799	1.351447659
800	1.351208458
801	1.350938983
802	1.350699382
803	1.350441813
804	1.350177146
805	1.34989406
806	1.349811923
807	1.349436767
808	1.34907135
809	1.348944654
810	1.348825588
811	1.348608398
812	1.348361015
813	1.348123989
814	1.347990985
815	1.34789174
816	1.347790038
817	1.347515598
818	1.347376256
819	1.34722248
820	1.347040347
821	1.346953651
822	1.346630653
823	1.346529796
824	1.346278201
825	1.345949769
826	1.345772171
827	1.345385555
828	1.345271095
829	1.345031781
830	1.344823512
831	1.344586556
832	1.344367488
833	1.344192057
834	1.343907174
835	1.343583173
836	1.34342298
837	1.343112571
838	1.342875672
839	1.342745653
840	1.342657659
841	1.342438292
842	1.34211351
843	1.341942566
844	1.341691445
845	1.341455087
846	1.341288242
847	1.340972625
848	1.340769048
849	1.340596805
850	1.340301609
851	1.339928816
852	1.339725496
853	1.339448459
854	1.339220713
855	1.33899723
856	1.338636297
857	1.338328833
858	1.338038467
859	1.337785827
860	1.337578202
861	1.337264499
862	1.336966433
863	1.336620045
864	1.336335364
865	1.336122221
866	1.335951573
867	1.335784523
868	1.335677623
869	1.335494715
870	1.335202879
871	1.33498931
872	1.334782468
873	1.334582326
874	1.334485173
875	1.334363932
876	1.33410513
877	1.333641912
878	1.333442394
879	1.33331386
880	1.333053151
881	1.332732569
882	1.332343469
883	1.332220405
884	1.332014063
885	1.331833744
886	1.331626302
887	1.331355969
888	1.331129652
889	1.330951105
890	1.330693038
891	1.33046157
892	1.330215198
893	1.330029714
894	1.329725432
895	1.329433821
896	1.329372957
897	1.32913047
898	1.329043472
899	1.328914257
900	1.328670313
901	1.328476159
902	1.328238491
903	1.328031189
904	1.327875462
905	1.327529525
906	1.327361275
907	1.327252125
908	1.327053572
909	1.32678401
910	1.326558135
911	1.326126897
912	1.325999937
913	1.325766766
914	1.325535317
915	1.32529719
916	1.325070223
917	1.324872154
918	1.324739957
919	1.324555441
920	1.324323319
921	1.324151512
922	1.323899359
923	1.323745915
924	1.323472805
925	1.323196657
926	1.323039748
927	1.322644602
928	1.322444017
929	1.322190435
930	1.322087981
931	1.321994931
932	1.321760732
933	1.321392519
934	1.321107379
935	1.320746289
936	1.320615256
937	1.320458673
938	1.32023298
939	1.319992533
940	1.319867459
941	1.319643434
942	1.319279668
943	1.319144476
944	1.318758047
945	1.318359992
946	1.318070973
947	1.317913454
948	1.317742266
949	1.317498878
950	1.317119709
951	1.316904225
952	1.316733667
953	1.316456571
954	1.316222068
955	1.316016911
956	1.31568379
957	1.315491249
958	1.315252028
959	1.31498094
960	1.314693139
961	1.314572942
962	1.314438456
963	1.314344704
964	1.314039854
965	1.31378509
966	1.313576119
967	1.313376771
968	1.31330778
969	1.313045311
970	1.312842807
971	1.312574212
972	1.312400124
973	1.311947064
974	1.311398878
975	1.311244234
976	1.311021049
977	1.310869173
978	1.310683804
979	1.310434844
980	1.310190217
981	1.309965555
982	1.309616409
983	1.309348323
984	1.308957003
985	1.3087846
986	1.308391606
987	1.308085454
988	1.30793424
989	1.307786458
990	1.307581585
991	1.307361884
992	1.306957139
993	1.306747049
994	1.306551566
995	1.306398953
996	1.306002637
997	1.305716957
998	1.305507401
999	1.3053757
