iter	Passed	Remaining
0	110	110467
1	165	82562
2	219	72785
3	264	65775
4	308	61446
5	354	58754
6	407	57762
7	456	56614
8	497	54775
9	544	53915
10	588	52938
11	643	52968
12	690	52425
13	737	51942
14	781	51297
15	832	51194
16	889	51424
17	937	51118
18	981	50668
19	1028	50392
20	1078	50271
21	1134	50417
22	1185	50336
23	1233	50161
24	1280	49936
25	1340	50213
26	1388	50025
27	1431	49699
28	1474	49361
29	1516	49030
30	1564	48911
31	1610	48729
32	1665	48806
33	1716	48757
34	1755	48408
35	1818	48690
36	1867	48610
37	1918	48563
38	1964	48408
39	2009	48234
40	2062	48251
41	2106	48056
42	2151	47890
43	2190	47592
44	2240	47545
45	2287	47437
46	2328	47213
47	2371	47035
48	2417	46919
49	2461	46770
50	2518	46870
51	2574	46928
52	2627	46946
53	2683	47015
54	2732	46941
55	2775	46784
56	2815	46572
57	2861	46471
58	2901	46268
59	2944	46130
60	2999	46172
61	3065	46376
62	3121	46425
63	3180	46518
64	3222	46356
65	3268	46254
66	3333	46426
67	3386	46416
68	3442	46443
69	3488	46347
70	3535	46259
71	3586	46231
72	3655	46418
73	3730	46679
74	3782	46649
75	3828	46548
76	3894	46687
77	3954	46749
78	4002	46661
79	4046	46536
80	4111	46645
81	4167	46659
82	4221	46642
83	4281	46693
84	4336	46676
85	4398	46751
86	4445	46656
87	4500	46640
88	4559	46665
89	4618	46694
90	4667	46621
91	4730	46689
92	4786	46677
93	4835	46610
94	4884	46532
95	4950	46612
96	5015	46695
97	5074	46710
98	5146	46837
99	5199	46798
100	5255	46782
101	5315	46797
102	5376	46820
103	5441	46877
104	5498	46868
105	5566	46946
106	5630	46990
107	5682	46936
108	5739	46913
109	5796	46901
110	5844	46805
111	5887	46675
112	5928	46537
113	5976	46451
114	6020	46331
115	6070	46260
116	6115	46157
117	6166	46090
118	6214	46010
119	6261	45920
120	6308	45830
121	6348	45686
122	6386	45539
123	6437	45480
124	6479	45359
125	6523	45247
126	6565	45129
127	6605	44998
128	6650	44906
129	6699	44834
130	6736	44684
131	6783	44603
132	6827	44510
133	6872	44412
134	6926	44383
135	6974	44307
136	7019	44217
137	7064	44127
138	7112	44057
139	7166	44022
140	7211	43934
141	7256	43847
142	7302	43761
143	7346	43672
144	7396	43615
145	7446	43557
146	7494	43490
147	7542	43418
148	7596	43384
149	7645	43325
150	7689	43234
151	7730	43125
152	7770	43016
153	7815	42934
154	7863	42867
155	7901	42751
156	7948	42677
157	7988	42571
158	8039	42520
159	8087	42459
160	8146	42454
161	8204	42440
162	8257	42400
163	8309	42359
164	8368	42351
165	8420	42303
166	8459	42196
167	8511	42151
168	8573	42155
169	8650	42236
170	8695	42157
171	8749	42120
172	8806	42096
173	8875	42135
174	8925	42075
175	8972	42006
176	9025	41967
177	9087	41967
178	9147	41956
179	9197	41900
180	9250	41857
181	9306	41829
182	9371	41838
183	9418	41769
184	9458	41669
185	9500	41575
186	9549	41518
187	9590	41421
188	9634	41343
189	9682	41280
190	9739	41252
191	9804	41262
192	9863	41244
193	9915	41196
194	9957	41105
195	9999	41018
196	10066	41034
197	10117	40981
198	10170	40938
199	10213	40855
200	10264	40801
201	10330	40812
202	10389	40790
203	10435	40717
204	10486	40666
205	10544	40643
206	10598	40602
207	10646	40539
208	10695	40478
209	10749	40438
210	10802	40392
211	10858	40359
212	10899	40270
213	10947	40207
214	11008	40192
215	11065	40164
216	11113	40101
217	11157	40023
218	11213	39991
219	11271	39964
220	11331	39942
221	11384	39898
222	11434	39840
223	11485	39790
224	11545	39767
225	11604	39741
226	11655	39691
227	11694	39597
228	11736	39514
229	11775	39422
230	11823	39361
231	11865	39278
232	11912	39215
233	11955	39137
234	12000	39064
235	12043	38989
236	12093	38933
237	12144	38881
238	12188	38808
239	12236	38748
240	12285	38692
241	12338	38645
242	12383	38577
243	12423	38492
244	12469	38427
245	12523	38384
246	12583	38360
247	12636	38317
248	12697	38296
249	12761	38285
250	12825	38273
251	12864	38184
252	12905	38104
253	12958	38058
254	13017	38032
255	13082	38021
256	13136	37977
257	13178	37900
258	13232	37857
259	13288	37820
260	13345	37787
261	13394	37730
262	13442	37670
263	13499	37636
264	13555	37596
265	13604	37540
266	13655	37487
267	13719	37472
268	13769	37419
269	13821	37370
270	13874	37321
271	13924	37268
272	13973	37210
273	14021	37151
274	14085	37135
275	14136	37083
276	14181	37016
277	14234	36967
278	14293	36937
279	14349	36899
280	14405	36860
281	14461	36821
282	14527	36807
283	14588	36780
284	14642	36735
285	14705	36713
286	14766	36684
287	14818	36635
288	14869	36582
289	14930	36554
290	14981	36500
291	15026	36435
292	15088	36407
293	15154	36390
294	15210	36349
295	15270	36318
296	15328	36283
297	15380	36232
298	15442	36205
299	15502	36172
300	15563	36142
301	15618	36098
302	15677	36063
303	15732	36019
304	15783	35965
305	15820	35880
306	15858	35797
307	15897	35717
308	15934	35632
309	15980	35570
310	16017	35485
311	16056	35405
312	16116	35373
313	16176	35340
314	16227	35288
315	16288	35258
316	16340	35205
317	16404	35181
318	16462	35144
319	16515	35095
320	16562	35034
321	16629	35015
322	16686	34974
323	16731	34909
324	16773	34837
325	16822	34779
326	16871	34724
327	16910	34645
328	16947	34565
329	16987	34489
330	17032	34424
331	17071	34347
332	17123	34298
333	17162	34221
334	17203	34151
335	17250	34089
336	17302	34040
337	17357	33996
338	17410	33947
339	17459	33891
340	17497	33815
341	17537	33742
342	17584	33682
343	17626	33613
344	17668	33543
345	17722	33497
346	17775	33451
347	17833	33411
348	17884	33360
349	17937	33312
350	17990	33264
351	18046	33221
352	18095	33167
353	18140	33103
354	18182	33036
355	18230	32979
356	18286	32935
357	18343	32896
358	18403	32860
359	18450	32801
360	18494	32737
361	18553	32699
362	18607	32652
363	18659	32602
364	18712	32553
365	18752	32484
366	18793	32415
367	18836	32349
368	18878	32283
369	18922	32218
370	18962	32149
371	19006	32085
372	19066	32049
373	19119	32002
374	19183	31972
375	19229	31912
376	19283	31866
377	19334	31815
378	19399	31786
379	19452	31738
380	19511	31699
381	19575	31669
382	19626	31618
383	19683	31575
384	19732	31520
385	19781	31466
386	19834	31417
387	19893	31378
388	19951	31337
389	20008	31295
390	20073	31264
391	20135	31229
392	20187	31180
393	20239	31130
394	20295	31085
395	20347	31034
396	20397	30981
397	20441	30919
398	20481	30850
399	20535	30803
400	20594	30763
401	20651	30720
402	20710	30679
403	20762	30629
404	20812	30577
405	20866	30528
406	20923	30485
407	20981	30444
408	21038	30399
409	21090	30350
410	21135	30288
411	21191	30243
412	21243	30193
413	21300	30150
414	21347	30092
415	21397	30038
416	21451	29991
417	21511	29951
418	21569	29908
419	21613	29847
420	21662	29792
421	21722	29753
422	21773	29700
423	21827	29652
424	21872	29592
425	21916	29531
426	21962	29472
427	22023	29433
428	22077	29384
429	22131	29337
430	22174	29273
431	22219	29214
432	22260	29149
433	22306	29090
434	22344	29022
435	22387	28959
436	22441	28911
437	22500	28870
438	22564	28834
439	22623	28793
440	22687	28758
441	22743	28712
442	22803	28671
443	22844	28606
444	22886	28544
445	22951	28509
446	23011	28468
447	23073	28429
448	23142	28399
449	23202	28358
450	23280	28339
451	23338	28295
452	23394	28248
453	23454	28206
454	23495	28143
455	23542	28085
456	23584	28022
457	23628	27961
458	23670	27899
459	23722	27848
460	23768	27790
461	23808	27725
462	23849	27660
463	23889	27596
464	23942	27546
465	23996	27498
466	24038	27436
467	24083	27377
468	24120	27309
469	24170	27255
470	24209	27190
471	24251	27129
472	24293	27066
473	24329	26998
474	24374	26940
475	24425	26888
476	24463	26822
477	24503	26758
478	24549	26702
479	24596	26645
480	24635	26581
481	24682	26526
482	24731	26472
483	24774	26412
484	24818	26353
485	24866	26299
486	24910	26240
487	24950	26177
488	24999	26123
489	25043	26065
490	25089	26009
491	25132	25949
492	25183	25898
493	25229	25842
494	25278	25788
495	25323	25731
496	25380	25686
497	25422	25626
498	25467	25569
499	25527	25527
500	25568	25466
501	25608	25404
502	25646	25340
503	25689	25281
504	25733	25224
505	25784	25172
506	25824	25111
507	25875	25060
508	25920	25003
