iter	MultiClass
0	1.43341652
1	1.314526176
2	1.228857367
3	1.159168161
4	1.099219273
5	1.048908816
6	1.00939407
7	0.9721388303
8	0.942514602
9	0.9163862667
10	0.8949026916
11	0.874929986
12	0.8543691783
13	0.8387283946
14	0.8267485456
15	0.8110243758
16	0.7972797681
17	0.7860692395
18	0.776680042
19	0.767561845
20	0.7594917245
21	0.7531076754
22	0.7475342064
23	0.740663461
24	0.7338293484
25	0.7301284196
26	0.7241961329
27	0.7197305798
28	0.7149299214
29	0.7120218577
30	0.7091718411
31	0.7065669071
32	0.703203207
33	0.6990466891
34	0.6978271873
35	0.6939315594
36	0.6916581488
37	0.6896131433
38	0.6886777059
39	0.686879285
40	0.6856821841
41	0.6843135483
42	0.6827148783
43	0.682091171
44	0.6796090285
45	0.6782523317
46	0.6776244564
47	0.6758177861
48	0.6742168364
49	0.6727003142
50	0.6712918946
51	0.6707316151
52	0.6703002216
53	0.6689800069
54	0.668294065
55	0.6674570076
56	0.6664614596
57	0.6651307612
58	0.6645026584
59	0.6641339803
60	0.6634141693
61	0.6620087988
62	0.6614202391
63	0.6606726477
64	0.6596954489
65	0.6580897748
66	0.6567972722
67	0.6566528482
68	0.6564419651
69	0.6560086478
70	0.6549963318
71	0.6543869125
72	0.6536146979
73	0.6522213512
74	0.6508190206
75	0.6507720649
76	0.6496945099
77	0.6495172543
78	0.648986861
79	0.6485554048
80	0.6471365979
81	0.6465409861
82	0.6458351686
83	0.6451315085
84	0.6445905509
85	0.6441402308
86	0.6436055173
87	0.643405698
88	0.643086558
89	0.6425803823
90	0.6421317249
91	0.6413036379
92	0.6411154739
93	0.6407050462
94	0.6403472347
95	0.6396788152
96	0.6386587533
97	0.6378886424
98	0.6366595292
99	0.6365244027
100	0.6359866938
101	0.6354358801
102	0.6352510767
103	0.6334652523
104	0.6332984881
105	0.6326213547
106	0.6319365822
107	0.6314482961
108	0.6311148578
109	0.6304022328
110	0.6303193403
111	0.6302188135
112	0.6300268424
113	0.6295306912
114	0.629234175
115	0.6286377116
116	0.6283807091
117	0.627454582
118	0.6270979149
119	0.6263599175
120	0.6255554264
121	0.6254671225
122	0.6252842185
123	0.6245938024
124	0.6243597137
125	0.6241398175
126	0.623809164
127	0.623646975
128	0.623517477
129	0.622945633
130	0.6228912006
131	0.6224048801
132	0.6218389254
133	0.621698957
134	0.621366267
135	0.6212065891
